Name (Display),Name (Display Short),Faith Traditions,Congregations,Year Founded,Year Joined EFC,,,,,,,,,,,,,,,
Grace Communion International Canada,,,38,,,,,,,,,,,,,,,,,
Canadian Conference of Mennonite Brethren Churches,,"Anabaptist,",256,,,,,,,,,,,,,,,,,
Evangelical Mennonite Conference,,"Anabaptist,",65,,,,,,,,,,,,,,,,,
Evangelical Mennonite Mission Conference ,,"Anabaptist,",25,,,,,,,,,,,,,,,,,
Evangelical Missionary Church of Canada ,,"Anabaptist,",144,,,,,,,,,,,,,,,,,
Fellowship of Evangelical Bible Churches,,"Anabaptist,",24,,,,,,,,,,,,,,,,,
Mennonite Church Canada,,"Anabaptist,",208,,,,,,,,,,,,,,,,,
United Brethren Church in Canada,,"Anabaptist,",12,,,,,,,,,,,,,,,,,
Be in Christ Church of Canada,,"Anabaptist,Holiness,",65,,,,,,,,,,,,,,,,,
Anglican Catholic Church of Canada,,"Anglican/Episcopal,",13,,,,,,,,,,,,,,,,,
Associated Gospel Churches of Canada,,"Baptist,",152,,,,,,,,,,,,,,,,,
Baptist General Conference of Canada,,"Baptist,",120,,,,,,,,,,,,,,,,,
Canadian Baptists of Atlantic Canada,,"Baptist,",442,,,,,,,,,,,,,,,,,
Canadian Baptists of Ontario & Quebec,,"Baptist,",334,,,,,,,,,,,,,,,,,
Canadian Baptists of Western Canada,,"Baptist,",161,,,,,,,,,,,,,,,,,
North American Baptist Conference,,"Baptist,",130,,,,,,,,,,,,,,,,,
Union d'Églises Baptistes Francophones du Canada,,"Baptist,",35,,,,,,,,,,,,,,,,,
The Fellowship,,"Baptist,",500,,,,,,,,,,,,,,,,,
Church of the Nazarene Canada,,"Holiness,",153,,,,,,,,,,,,,,,,,
Free Methodist Church in Canada,,"Holiness,",150,,,,,,,,,,,,,,,,,
Salvation Army,,"Holiness,",300,,,,,,,,,,,,,,,,,
The Christian and Missionary Alliance in Canada,,"Holiness,",440,,,,,,,,,,,,,,,,,
Wesleyan Church of Canada,,"Holiness,",120,,,,,,,,,,,,,,,,,
Anglican Network in Canada,,"Mainline,Anglican/Episcopal,",70,,,,,,,,,,,,,,,,,
Lutheran Church in Canada,,"Mainline,Lutheran,",298,,,,,,,,,,,,,,,,,
Apostolic Church of Pentecost,,"Pentecostal/Charismatic,",107,,,,,,,,,,,,,,,,,
Canadian Assemblies of God,,"Pentecostal/Charismatic,",38,,,,,,,,,,,,,,,,,
Canadian Fellowship of Churches & Ministers,,"Pentecostal/Charismatic,",48,,,,,,,,,,,,,,,,,
Churches of God in Eastern Canada,,"Pentecostal/Charismatic,",9,,,,,,,,,,,,,,,,,
Fellowship of Christian Assemblies,,"Pentecostal/Charismatic,",82,,,,,,,,,,,,,,,,,
Foursquare Gospel Church of Canada,,"Pentecostal/Charismatic,",82,,,,,,,,,,,,,,,,,
Grace Fellowship Canada,,"Pentecostal/Charismatic,",6,,,,,,,,,,,,,,,,,
Independent Assemblies of God International Canada,,"Pentecostal/Charismatic,",450,,,,,,,,,,,,,,,,,
Pentecostal Assemblies of Canada,,"Pentecostal/Charismatic,",1100,,,,,,,,,,,,,,,,,
Pentecostal Assemblies of Newfoundland & Labrador,,"Pentecostal/Charismatic,",117,,,,,,,,,,,,,,,,,
Pentecostal Holiness Church of Canada,,"Pentecostal/Charismatic,",21,,,,,,,,,,,,,,,,,
Vineyard Canada,,"Pentecostal/Charismatic,",41,,,,,,,,,,,,,,,,,
Evangelical Covenant Church of Canada,,"Pietist,",32,,,,,,,,,,,,,,,,,
Evangelical Free Church of Canada,,"Pietist,",144,,,,,,,,,,,,,,,,,
Christian Reformed Church in North America,,"Reformed,",254,,,,,,,,,,,,,,,,,
Congregational Christian Churches in Canada,,"Reformed,",32,,,,,,,,,,,,,,,,,
L’Église Réformée du Québec,,"Reformed,",5,,,,,,,,,,,,,,,,,
Regional Synod of Canada,,"Reformed,",37,,,,,,,,,,,,,,,,,
Evangelical Christian Church in Canada,,"Restorationist,",10,,,,,,,,,,,,,,,,,
Vision Ministries Canada,,"Restorationist,",108,,,,,,,,,,,,,,,,,